High Level Relay Cat,Specific Ind,drug_class_name,drug_group_name,indication,High Level Relay Cat
neoplasms by histologic type,Oligodendroglioma,,,,neoplasms by histologic type
infection|mycoses|skin diseases,Onychomycosis,,,,infection|mycoses|skin diseases
opioid-related disorders,Opioid-Related Disorders,Other Addiction Treatments,Addictions,Opioid Addiction,opioid-related disorders
cranial nerve diseases|central nervous system diseases|neurologic manifestations|signs and symptoms|neoplasms by site|nervous system neoplasms|neurodegenerative diseases|ocular motility disorders|paraneoplastic syndromes,Opsoclonus-Myoclonus Syndrome,,,,cranial nerve diseases|central nervous system diseases|neurologic manifestations|signs and symptoms|neoplasms by site|nervous system neoplasms|neurodegenerative diseases|ocular motility disorders|paraneoplastic syndromes
"cranial nerve diseases|eye diseases, hereditary|genetic diseases, inborn|neurodegenerative diseases|optic nerve diseases","Optic Atrophies, Hereditary",,,,"cranial nerve diseases|eye diseases, hereditary|genetic diseases, inborn|neurodegenerative diseases|optic nerve diseases"
cranial nerve diseases|optic nerve diseases,Optic Atrophy,,,,cranial nerve diseases|optic nerve diseases
"cranial nerve diseases|eye diseases, hereditary|genetic diseases, inborn|neurodegenerative diseases|metabolic diseases|optic nerve diseases","Optic Atrophy, Hereditary, Leber",,,,"cranial nerve diseases|eye diseases, hereditary|genetic diseases, inborn|neurodegenerative diseases|metabolic diseases|optic nerve diseases"
cranial nerve diseases|optic nerve diseases,Optic Nerve Diseases,,,,cranial nerve diseases|optic nerve diseases
cranial nerve diseases|optic nerve diseases,Optic Neuritis,,,,cranial nerve diseases|optic nerve diseases
orbital diseases,Orbital Diseases,,,,orbital diseases
poisoning,Organophosphate Poisoning,,,,poisoning
rna virus infections,Orthomyxoviridae Infections,,,,rna virus infections
joint diseases|rheumatic diseases,Osteoarthritis,Other Rheumatic Disease Agents,Rheumatic Diseases,Osteoarthritis,joint diseases|rheumatic diseases
joint diseases|rheumatic diseases,"Osteoarthritis, Knee",Other Rheumatic Disease Agents,Rheumatic Diseases,Osteoarthritis,joint diseases|rheumatic diseases
bone diseases|infection,Osteomyelitis,,,,bone diseases|infection
neoplasms by histologic type|connective tissue diseases,Osteosarcoma,Immunomodulators - Oncology (Small-molecule),Targeted Small Molecules,Osteosarcoma,neoplasms by histologic type|connective tissue diseases
ear diseases,Otitis,Other Antibiotics,Bacterial Infection,Otitis,ear diseases
ear diseases,Otitis Media,Other Antibiotics,Bacterial Infection,Otitis,ear diseases
ear diseases,Otitis Media with Effusion,Other Antibiotics,Bacterial Infection,Otitis,ear diseases
neoplasms by site|otorhinolaryngologic neoplasms,Otorhinolaryngologic Neoplasms,,,,neoplasms by site|otorhinolaryngologic neoplasms
female urogenital diseases|cysts|gonadal disorders,Ovarian Cysts,Other Targeted Biologics,Biologics,Ovarian Cancer,female urogenital diseases|cysts|gonadal disorders
female urogenital diseases|gonadal disorders,Ovarian Diseases,Other Targeted Biologics,Biologics,Ovarian Cancer,female urogenital diseases|gonadal disorders
female urogenital diseases|endocrine gland neoplasms|neoplasms by site|gonadal disorders|urogenital neoplasms,Ovarian Neoplasms,Other Targeted Biologics,Biologics,Ovarian Cancer,female urogenital diseases|endocrine gland neoplasms|neoplasms by site|gonadal disorders|urogenital neoplasms
nutrition disorders,Overnutrition,,,,nutrition disorders
signs and symptoms,Overweight,,,,signs and symptoms
neurologic manifestations|signs and symptoms,Pain,Other Pain,Pain,Pain,neurologic manifestations|signs and symptoms
neurologic manifestations|signs and symptoms,"Pain, Intractable",Other Pain,Pain,Pain,neurologic manifestations|signs and symptoms
neurologic manifestations|signs and symptoms|pathologic processes,"Pain, Postoperative",Other Pain,Pain,Pain,neurologic manifestations|signs and symptoms|pathologic processes
digestive system neoplasms|endocrine gland neoplasms|neoplasms by site|pancreatic diseases,Pancreatic Neoplasms,Other Targeted Biologics,Biologics,Pancreatic Cancer,digestive system neoplasms|endocrine gland neoplasms|neoplasms by site|pancreatic diseases
anxiety disorders,Panic Disorder,,,,anxiety disorders
uveal diseases,Panuveitis,,,,uveal diseases
neoplasms by histologic type,Papilloma,,,,neoplasms by histologic type
neoplasms by histologic type,"Papilloma, Inverted",,,,neoplasms by histologic type
dna virus infections|tumor virus infections,Papillomavirus Infections,,,,dna virus infections|tumor virus infections
neoplasms by histologic type,Paraganglioma,,,,neoplasms by histologic type
neurologic manifestations|signs and symptoms,Paralysis,,,,neurologic manifestations|signs and symptoms
rna virus infections,Paramyxoviridae Infections,,,,rna virus infections
paraneoplastic syndromes,Paraneoplastic Syndromes,,,,paraneoplastic syndromes
neoplasms by site|nervous system neoplasms|neurodegenerative diseases|paraneoplastic syndromes,"Paraneoplastic Syndromes, Nervous System",,,,neoplasms by site|nervous system neoplasms|neurodegenerative diseases|paraneoplastic syndromes
hematologic diseases|immunoproliferative disorders,Paraproteinemias,,,,hematologic diseases|immunoproliferative disorders
pathologic processes|parasitemia|infection,Parasitemia,,,,pathologic processes|parasitemia|infection
sleep disorders,Parasomnias,,,,sleep disorders
parathyroid diseases,Parathyroid Diseases,,,,parathyroid diseases
central nervous system diseases|neurodegenerative diseases,Parkinson Disease,Other PD treatments,Parkinson's Disease,Parkinson's disease,central nervous system diseases|neurodegenerative diseases
central nervous system diseases,Parkinsonian Disorders,Other Psychiatry,Other Psychiatric Disorders,Parkinson's Disease Psychosis,central nervous system diseases
conjunctival diseases|skin diseases,"Pemphigoid, Benign Mucous Membrane",,,,conjunctival diseases|skin diseases
neurologic manifestations|signs and symptoms,Perceptual Disorders,,,,neurologic manifestations|signs and symptoms
mouth diseases,Peri-Implantitis,,,,mouth diseases
central nervous system infections|central nervous system diseases,Perimeningeal Infections,,,,central nervous system infections|central nervous system diseases
mouth diseases,Periodontal Diseases,,,,mouth diseases
vascular diseases,Peripheral Arterial Disease,Other Cardiology Agents,Other Cardiovascular Disorders,Peripheral Arterial Disease,vascular diseases
neuromuscular diseases,Peripheral Nervous System Diseases,Neuropathic Pain,Pain,Peripheral Neuropathy,neuromuscular diseases
neoplasms by site|nervous system neoplasms|neuromuscular diseases,Peripheral Nervous System Neoplasms,,,,neoplasms by site|nervous system neoplasms|neuromuscular diseases
vascular diseases,Peripheral Vascular Diseases,Other Cardiology Agents,Other Cardiovascular Disorders,Peripheral vascular disease,vascular diseases
neoplasms by site|digestive system neoplasms|peritoneal diseases,Peritoneal Neoplasms,,,,neoplasms by site|digestive system neoplasms|peritoneal diseases
neoplasms by histologic type,Perivascular Epithelioid Cell Neoplasms,,,,neoplasms by histologic type
"central nervous system diseases|metabolic diseases|genetic diseases, inborn",Peroxisomal Disorders,,,,"central nervous system diseases|metabolic diseases|genetic diseases, inborn"
hematologic diseases|immunologic deficiency syndromes,Phagocyte Bactericidal Dysfunction,,,,hematologic diseases|immunologic deficiency syndromes
neurologic manifestations|signs and symptoms|pathologic processes,Phantom Limb,,,,neurologic manifestations|signs and symptoms|pathologic processes
neoplasms by site|otorhinolaryngologic neoplasms|pharyngeal diseases,Pharyngeal Neoplasms,,,,neoplasms by site|otorhinolaryngologic neoplasms|pharyngeal diseases
pathologic processes,Philadelphia Chromosome,,,,pathologic processes
vascular diseases,Phlebitis,,,,vascular diseases
metabolic diseases,Phosphorus Metabolism Disorders,,,,metabolic diseases
rna virus infections,Picornaviridae Infections,,,,rna virus infections
skin diseases,Pigmentation Disorders,,,,skin diseases
pregnancy complications,Placenta Diseases,,,,pregnancy complications
pregnancy complications,Placental Insufficiency,,,,pregnancy complications
immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type,Plasmacytoma,,,,immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type
pleural diseases,Pleural Diseases,,,,pleural diseases
pleural diseases,Pleural Effusion,,,,pleural diseases
neoplasms by site|pleural diseases|respiratory tract neoplasms,"Pleural Effusion, Malignant",,,,neoplasms by site|pleural diseases|respiratory tract neoplasms
neoplasms by site|pleural diseases|respiratory tract neoplasms,Pleural Neoplasms,,,,neoplasms by site|pleural diseases|respiratory tract neoplasms
bacterial infections,Pneumococcal Infections,Pediatric Vaccines,Vaccine Products,Pneumococcus,bacterial infections
lung diseases|thoracic injuries|pneumoconiosis,Pneumoconiosis,Pediatric Vaccines,Vaccine Products,Pneumococcus,lung diseases|thoracic injuries|pneumoconiosis
mycoses,Pneumocystis Infections,Pediatric Vaccines,Vaccine Products,Pneumococcus,mycoses
lung diseases|respiratory tract infections,Pneumonia,Pediatric Vaccines,Vaccine Products,Pneumococcus,lung diseases|respiratory tract infections
lung diseases|mycoses|respiratory tract infections,"Pneumonia, Pneumocystis",Pediatric Vaccines,Vaccine Products,Pneumococcus,lung diseases|mycoses|respiratory tract infections
infection|lung diseases|thoracic injuries|respiratory tract infections,"Pneumonia, Ventilator-Associated",Pediatric Vaccines,Vaccine Products,Pneumococcus,infection|lung diseases|thoracic injuries|respiratory tract infections
rna virus infections,Pneumovirus Infections,Pediatric Vaccines,Vaccine Products,Pneumococcus,rna virus infections
poisoning,Poisoning,,,,poisoning
central nervous system infections|central nervous system viral diseases|rna virus infections|central nervous system diseases|neuromuscular diseases,Poliomyelitis,,,,central nervous system infections|central nervous system viral diseases|rna virus infections|central nervous system diseases|neuromuscular diseases
female urogenital diseases|cysts|gonadal disorders,Polycystic Ovary Syndrome,Other Endocrinology Agents,Other Endocrinology Disorders,Polycystic ovarian syndrome,female urogenital diseases|cysts|gonadal disorders
hematologic diseases,Polycythemia Vera,Other Supportive Care,Other Supportive Care,Polycythemia Vera,hematologic diseases
muscular diseases|neuromuscular diseases,Polymyositis,,,,muscular diseases|neuromuscular diseases
neuromuscular diseases,Polyneuropathies,,,,neuromuscular diseases
autoimmune diseases|autoimmune diseases of the nervous system|demyelinating diseases|neuromuscular diseases,Polyradiculoneuropathy,,,,autoimmune diseases|autoimmune diseases of the nervous system|demyelinating diseases|neuromuscular diseases
autoimmune diseases|autoimmune diseases of the nervous system|demyelinating diseases|neuromuscular diseases,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",,,,autoimmune diseases|autoimmune diseases of the nervous system|demyelinating diseases|neuromuscular diseases
"genetic diseases, inborn|metabolic diseases|skin diseases",Porphyrias,,,,"genetic diseases, inborn|metabolic diseases|skin diseases"
"genetic diseases, inborn|liver diseases|metabolic diseases|skin diseases","Porphyrias, Hepatic",,,,"genetic diseases, inborn|liver diseases|metabolic diseases|skin diseases"
pathologic processes,Postoperative Complications,,,,pathologic processes
pathologic processes,Postoperative Hemorrhage,,,,pathologic processes
signs and symptoms|pathologic processes,Postoperative Nausea and Vomiting,,,,signs and symptoms|pathologic processes
"congenital abnormalities|genetic diseases, inborn|neurologic manifestations|signs and symptoms|mental disorders diagnosed in childhood|nutrition disorders",Prader-Willi Syndrome,,,,"congenital abnormalities|genetic diseases, inborn|neurologic manifestations|signs and symptoms|mental disorders diagnosed in childhood|nutrition disorders"
pregnancy complications|vascular diseases,Pre-Eclampsia,,,,pregnancy complications|vascular diseases
immunoproliferative disorders|neoplasms by histologic type|lymphatic diseases,Precursor Cell Lymphoblastic Leukemia-Lymphoma,,,,immunoproliferative disorders|neoplasms by histologic type|lymphatic diseases
diabetes mellitus|metabolic diseases,Prediabetic State,,,,diabetes mellitus|metabolic diseases
pregnancy complications,Pregnancy Complications,,,,pregnancy complications
"genital diseases, male|sexual and gender disorders|female urogenital diseases",Premature Ejaculation,,,,"genital diseases, male|sexual and gender disorders|female urogenital diseases"
skin diseases,Pressure Ulcer,,,,skin diseases
pathologic processes|vascular diseases,Primary Graft Dysfunction,,,,pathologic processes|vascular diseases
hematologic diseases,Primary Myelofibrosis,,,,hematologic diseases
"genital diseases, male",Prostatic Diseases,Other Mens Health,Other Men's Health Disorders,Prostatitis,"genital diseases, male"
"genital diseases, male",Prostatic Hyperplasia,Other Mens Health,Other Men's Health Disorders,Prostatitis,"genital diseases, male"
"genital diseases, male|neoplasms by site|urogenital neoplasms",Prostatic Neoplasms,Other Targeted Biologics,Biologics,Prostate Cancer,"genital diseases, male|neoplasms by site|urogenital neoplasms"
metabolic diseases,Proteostasis Deficiencies,,,,metabolic diseases
"genetic diseases, inborn|liver diseases|metabolic diseases|skin diseases","Protoporphyria, Erythropoietic",,,,"genetic diseases, inborn|liver diseases|metabolic diseases|skin diseases"
protozoan infections,Protozoan Infections,,,,protozoan infections
skin diseases|signs and symptoms,Pruritus,,,,skin diseases|signs and symptoms
skin diseases,Psoriasis,Other Psoriasis Treatments,Psoriasis,Psoriasis,skin diseases
lung diseases,"Pulmonary Disease, Chronic Obstructive",,,,lung diseases
lung diseases,Pulmonary Fibrosis,Pulmonary Fibrosis Treatments,Pulmonary Fibrosis,Pulmonary Fibrosis,lung diseases
"genetic diseases, inborn|metabolic diseases","Purine-Pyrimidine Metabolism, Inborn Errors",,,,"genetic diseases, inborn|metabolic diseases"
rna virus infections,Rabies,,,,rna virus infections
radiation injuries,Radiation Injuries,,,,radiation injuries
neuromuscular diseases,Radiculopathy,,,,neuromuscular diseases
skin diseases|radiation injuries,Radiodermatitis,,,,skin diseases|radiation injuries
gastrointestinal diseases,Rectal Diseases,,,,gastrointestinal diseases
neoplasms by site|digestive system neoplasms|gastrointestinal diseases,Rectal Neoplasms,,,,neoplasms by site|digestive system neoplasms|gastrointestinal diseases
pathologic processes,Recurrence,,,,pathologic processes
vascular diseases|female urogenital diseases|urologic diseases,Renal Artery Obstruction,,,,vascular diseases|female urogenital diseases|urologic diseases
female urogenital diseases|urologic diseases,Renal Insufficiency,Acute / Chronic Renal Disorder Treatments,Renal Disorders,Renal Disease,female urogenital diseases|urologic diseases
female urogenital diseases|urologic diseases,"Renal Insufficiency, Chronic",Acute / Chronic Renal Disorder Treatments,Renal Disorders,Renal Disease,female urogenital diseases|urologic diseases
rna virus infections,Reoviridae Infections,,,,rna virus infections
pathologic processes|vascular diseases,Reperfusion Injury,Other Cardiology Agents,Other Cardiovascular Disorders,Reperfusion Injury,pathologic processes|vascular diseases
respiration disorders,Respiration Disorders,,,,respiration disorders
lung diseases|respiration disorders,"Respiratory Distress Syndrome, Adult",,,,lung diseases|respiration disorders
hypersensitivity|respiratory hypersensitivity,Respiratory Hypersensitivity,,,,hypersensitivity|respiratory hypersensitivity
respiration disorders,Respiratory Insufficiency,,Other Respiratory Agents,Other Respiratory Disorders,respiration disorders
rna virus infections,Respiratory Syncytial Virus Infections,,,,rna virus infections
infection|respiratory tract infections,Respiratory Tract Infections,,Quinolones,Bacterial Infection,infection|respiratory tract infections
neoplasms by site|respiratory tract neoplasms,Respiratory Tract Neoplasms,,,,neoplasms by site|respiratory tract neoplasms
sleep disorders,Restless Legs Syndrome,Other Neurology,Other Neurological Disorders,Restless Legs Syndrome,sleep disorders
retinal diseases,Retinal Degeneration,Other Ophthalmology Treatments,Other Ophthalmic Disorders,Retinal Vein Occlusion,retinal diseases
retinal diseases,Retinal Dystrophies,Other Ophthalmology Treatments,Other Ophthalmic Disorders,Retinal Vein Occlusion,retinal diseases
eye neoplasms|neoplasms by site|retinal diseases,Retinal Neoplasms,Other Ophthalmology Treatments,Other Ophthalmic Disorders,Retinal Vein Occlusion,eye neoplasms|neoplasms by site|retinal diseases
pathologic processes|retinal diseases,Retinal Neovascularization,Other Ophthalmology Treatments,Other Ophthalmic Disorders,Retinal Vein Occlusion,pathologic processes|retinal diseases
"eye diseases, hereditary|genetic diseases, inborn|retinal diseases",Retinitis Pigmentosa,Other Ophthalmology Treatments,Other Ophthalmic Disorders,Retinal Vein Occlusion,"eye diseases, hereditary|genetic diseases, inborn|retinal diseases"
eye neoplasms|neoplasms by histologic type|neoplasms by site|retinal diseases,Retinoblastoma,Other Ophthalmology Treatments,Other Ophthalmic Disorders,Retinal Vein Occlusion,eye neoplasms|neoplasms by histologic type|neoplasms by site|retinal diseases
"infant, newborn, diseases|retinal diseases",Retinopathy of Prematurity,Other Ophthalmology Treatments,Other Ophthalmic Disorders,Retinopathy of Prematurity,"infant, newborn, diseases|retinal diseases"
ear diseases,Retrocochlear Diseases,,,,ear diseases
rna virus infections,Retroviridae Infections,Pediatric Vaccines,Vaccine Products,Rotavirus,rna virus infections
"genetic diseases, inborn|neurodegenerative diseases|neurologic manifestations|signs and symptoms|mental disorders diagnosed in childhood",Rett Syndrome,,,,"genetic diseases, inborn|neurodegenerative diseases|neurologic manifestations|signs and symptoms|mental disorders diagnosed in childhood"
neoplasms by histologic type,Rhabdomyosarcoma,,,,neoplasms by histologic type
rna virus infections,Rhabdoviridae Infections,,,,rna virus infections
connective tissue diseases|rheumatic diseases,Rheumatic Diseases,Other Rheumatic Disease Agents,Rheumatic Diseases,Rheumatoid arthritis,connective tissue diseases|rheumatic diseases
nose diseases|respiratory tract infections,Rhinitis,,,,nose diseases|respiratory tract infections
hypersensitivity|nose diseases|respiratory hypersensitivity|respiratory tract infections,"Rhinitis, Allergic, Seasonal",,,,hypersensitivity|nose diseases|respiratory hypersensitivity|respiratory tract infections
rna virus infections,RNA Virus Infections,,,,rna virus infections
skin diseases,Rosacea,,,,skin diseases
rna virus infections,Rotavirus Infections,,,,rna virus infections
mouth diseases,Salivary Gland Diseases,,,,mouth diseases
neoplasms by site|mouth diseases,Salivary Gland Neoplasms,,,,neoplasms by site|mouth diseases
lymphatic diseases|immunoproliferative disorders,Sarcoidosis,Alkylating Agents,Cytotoxics,Sarcoma,lymphatic diseases|immunoproliferative disorders
neoplasms by histologic type,Sarcoma,Alkylating Agents,Cytotoxics,Sarcoma,neoplasms by histologic type
neoplasms by histologic type,"Sarcoma, Alveolar Soft Part",Alkylating Agents,Cytotoxics,Sarcoma,neoplasms by histologic type
neoplasms by histologic type|connective tissue diseases,"Sarcoma, Clear Cell",Alkylating Agents,Cytotoxics,Sarcoma,neoplasms by histologic type|connective tissue diseases
neoplasms by histologic type|connective tissue diseases,"Sarcoma, Ewing",Alkylating Agents,Cytotoxics,Sarcoma,neoplasms by histologic type|connective tissue diseases
dna virus infections|neoplasms by histologic type,"Sarcoma, Kaposi",Alkylating Agents,Cytotoxics,Sarcoma,dna virus infections|neoplasms by histologic type
neoplasms by histologic type|connective tissue diseases,"Sarcoma, Synovial",Alkylating Agents,Cytotoxics,Sarcoma,neoplasms by histologic type|connective tissue diseases
schizophrenia and disorders with psychotic features,Schizophrenia,Other Anti-psychotics,Schizophrenia,Schizophrenia,schizophrenia and disorders with psychotic features
schizophrenia and disorders with psychotic features,Schizophrenia and Disorders with Psychotic Features,,,,schizophrenia and disorders with psychotic features
scleral diseases,Scleral Diseases,Other Dermatology Products,Other Dermatology Disorders,Scleroderma,scleral diseases
scleral diseases,Scleritis,Other Dermatology Products,Other Dermatology Disorders,Scleroderma,scleral diseases
skin diseases,Sebaceous Gland Diseases,,,,skin diseases
helminthiasis,Secernentea Infections,,,,helminthiasis
central nervous system diseases|neurologic manifestations|signs and symptoms,Seizures,,,,central nervous system diseases|neurologic manifestations|signs and symptoms
central nervous system diseases,"Seizures, Febrile",,,,central nervous system diseases
neoplasms by histologic type,Seminoma,,,,neoplasms by histologic type
neurologic manifestations|signs and symptoms,Sensation Disorders,,,,neurologic manifestations|signs and symptoms
infection|pathologic processes,Sepsis,Other Antibiotics,Bacterial Infection,Sepsis,infection|pathologic processes
"metabolic diseases|immunologic deficiency syndromes|infant, newborn, diseases",Severe Combined Immunodeficiency,,,,"metabolic diseases|immunologic deficiency syndromes|infant, newborn, diseases"
"congenital abnormalities|genetic diseases, inborn",Sex Chromosome Disorders,,,,"congenital abnormalities|genetic diseases, inborn"
"congenital abnormalities|genetic diseases, inborn|urogenital abnormalities|female urogenital diseases|gonadal disorders|sexual and gender disorders",Sex Chromosome Disorders of Sex Development,,,,"congenital abnormalities|genetic diseases, inborn|urogenital abnormalities|female urogenital diseases|gonadal disorders|sexual and gender disorders"
sexual and gender disorders,Sexual and Gender Disorders,,,,sexual and gender disorders
"female urogenital diseases|genital diseases, male","Sexual Dysfunction, Physiological",,,,"female urogenital diseases|genital diseases, male"
sexual and gender disorders,"Sexual Dysfunctions, Psychological",,,,sexual and gender disorders
"female urogenital diseases|genital diseases, male|infection|sexually transmitted diseases",Sexually Transmitted Diseases,,,,"female urogenital diseases|genital diseases, male|infection|sexually transmitted diseases"
sexually transmitted diseases,"Sexually Transmitted Diseases, Viral",,,,sexually transmitted diseases
pathologic processes,Shock,,,,pathologic processes
infection|pathologic processes,"Shock, Septic",,,,infection|pathologic processes
"pathologic processes|shock, traumatic","Shock, Traumatic",,,,"pathologic processes|shock, traumatic"
joint diseases|signs and symptoms|neurologic manifestations,Shoulder Pain,,,,joint diseases|signs and symptoms|neurologic manifestations
signs and symptoms,"Signs and Symptoms, Digestive",,,,signs and symptoms
signs and symptoms,"Signs and Symptoms, Respiratory",,,,signs and symptoms
joint diseases|rheumatic diseases|connective tissue diseases|autoimmune diseases|lacrimal apparatus diseases|mouth diseases,Sjogren's Syndrome,,,,joint diseases|rheumatic diseases|connective tissue diseases|autoimmune diseases|lacrimal apparatus diseases|mouth diseases
congenital abnormalities|skin diseases,Skin Abnormalities,,,,congenital abnormalities|skin diseases
bacterial infections|infection|skin diseases,"Skin Diseases, Bacterial",Other Antibiotics,Bacterial Infection,skin infections due to Staph aureus,bacterial infections|infection|skin diseases
skin diseases,"Skin Diseases, Eczematous",,,,skin diseases
"genetic diseases, inborn|skin diseases","Skin Diseases, Genetic",,,,"genetic diseases, inborn|skin diseases"
infection|skin diseases,"Skin Diseases, Infectious",,,,infection|skin diseases
metabolic diseases|skin diseases,"Skin Diseases, Metabolic",,,,metabolic diseases|skin diseases
skin diseases,"Skin Diseases, Papulosquamous",,,,skin diseases
"skin diseases|infection|skin diseases, parasitic","Skin Diseases, Parasitic",,,,"skin diseases|infection|skin diseases, parasitic"
skin diseases,"Skin Diseases, Vascular",,,,skin diseases
skin diseases,"Skin Diseases, Vesiculobullous",,,,skin diseases
"skin diseases|infection|skin diseases, viral","Skin Diseases, Viral",,,,"skin diseases|infection|skin diseases, viral"
signs and symptoms,Skin Manifestations,,,,signs and symptoms
neoplasms by site|skin diseases,Skin Neoplasms,,,,neoplasms by site|skin diseases
skin diseases,Skin Ulcer,,,,skin diseases
respiration disorders|signs and symptoms|sleep disorders,Sleep Apnea Syndromes,,,,respiration disorders|signs and symptoms|sleep disorders
respiration disorders|signs and symptoms|sleep disorders,"Sleep Apnea, Obstructive",,,,respiration disorders|signs and symptoms|sleep disorders
neurologic manifestations|signs and symptoms|sleep disorders,Sleep Disorders,Hypnotics,Sleep Disorders,Sleep Disorder,neurologic manifestations|signs and symptoms|sleep disorders
sleep disorders,"Sleep Disorders, Intrinsic",Hypnotics,Sleep Disorders,Sleep Disorder,sleep disorders
sleep disorders,Sleep Initiation and Maintenance Disorders,Hypnotics,Sleep Disorders,Sleep Disorder,sleep disorders
slow virus diseases,Slow Virus Diseases,,,,slow virus diseases
neoplasms by site|bronchial diseases|respiratory tract neoplasms|lung diseases,Small Cell Lung Carcinoma,Anti-neoplastic Antibiotics,Cytotoxics,Small-cell Lung Cancer,neoplasms by site|bronchial diseases|respiratory tract neoplasms|lung diseases
infection,Soft Tissue Infections,,,,infection
neoplasms by histologic type|neoplasms by site|digestive system neoplasms|pancreatic diseases|endocrine gland neoplasms,Somatostatinoma,,,,neoplasms by histologic type|neoplasms by site|digestive system neoplasms|pancreatic diseases|endocrine gland neoplasms
neurologic manifestations|signs and symptoms,Spasm,,,,neurologic manifestations|signs and symptoms
central nervous system diseases,"Spasms, Infantile",,,,central nervous system diseases
"central nervous system diseases|metabolic diseases|genetic diseases, inborn",Sphingolipidoses,,,,"central nervous system diseases|metabolic diseases|genetic diseases, inborn"
central nervous system diseases,Spinal Cord Diseases,Other Neurology,Other Neurological Disorders,Spinal cord injury,central nervous system diseases
"central nervous system diseases|spinal cord injuries|trauma, nervous system",Spinal Cord Injuries,Other Neurology,Other Neurological Disorders,Spinal cord injury,"central nervous system diseases|spinal cord injuries|trauma, nervous system"
bone diseases,Spinal Diseases,Other Musculoskeletal,Other Musculoskeletal Disorders,Spinal Muscular Atrophy,bone diseases
"central nervous system diseases|genetic diseases, inborn|neurodegenerative diseases",Spinocerebellar Degenerations,Other Neurology,Other Neurological Disorders,Spinocerebellar Degeneration,"central nervous system diseases|genetic diseases, inborn|neurodegenerative diseases"
bacterial infections,Spirochaetales Infections,,,,bacterial infections
helminthiasis,Spirurida Infections,,,,helminthiasis
joint diseases|bone diseases|infection,Spondylarthritis,,,,joint diseases|bone diseases|infection
joint diseases|bone diseases|infection,Spondylarthropathies,,,,joint diseases|bone diseases|infection
bone diseases|infection,Spondylitis,,,,bone diseases|infection
sprains and strains,Sprains and Strains,,,,sprains and strains
bacterial infections,Staphylococcal Infections,Other Antibiotics,Bacterial Infection,Staphylococcus aureas infection,bacterial infections
bacterial infections|infection|skin diseases,Staphylococcal Skin Infections,Other Antibiotics,Bacterial Infection,Staphylococcus aureas infection,bacterial infections|infection|skin diseases
skin diseases|mouth diseases,Stevens-Johnson Syndrome,,,,skin diseases|mouth diseases
gastrointestinal diseases,Stomach Diseases,,,,gastrointestinal diseases
digestive system neoplasms|gastrointestinal diseases|neoplasms by site,Stomach Neoplasms,,,,digestive system neoplasms|gastrointestinal diseases|neoplasms by site
mouth diseases,Stomatitis,,,,mouth diseases
bacterial infections,Streptococcal Infections,,,,bacterial infections
anxiety disorders,"Stress Disorders, Post-Traumatic",,,,anxiety disorders
anxiety disorders,"Stress Disorders, Traumatic",,,,anxiety disorders
central nervous system diseases|vascular diseases,Stroke,Thrombolytics,Thrombosis,Stroke,central nervous system diseases|vascular diseases
central nervous system diseases|vascular diseases|pathologic processes,Subarachnoid Hemorrhage,,,,central nervous system diseases|vascular diseases|pathologic processes
central nervous system diseases|central nervous system infections,Subdural Effusion,,,,central nervous system diseases|central nervous system infections
infection|pathologic processes,Suppuration,,,,infection|pathologic processes
skin diseases,Sweat Gland Diseases,,,,skin diseases
pathologic processes,Systemic Inflammatory Response Syndrome,,,,pathologic processes
vascular diseases,Systemic Vasculitis,,,,vascular diseases
heart diseases|pathologic processes,Tachycardia,Beta-blockers,Hypertension,Tachycardia,heart diseases|pathologic processes
neurodegenerative diseases,Tauopathies,,,,neurodegenerative diseases
metabolic diseases|neurodegenerative diseases,TDP-43 Proteinopathies,,,,metabolic diseases|neurodegenerative diseases
vascular diseases,Telangiectasis,,,,vascular diseases
"genital diseases, male|gonadal disorders",Testicular Diseases,,,,"genital diseases, male|gonadal disorders"
bacterial infections,Tetanus,,,,bacterial infections
cardiovascular abnormalities|congenital abnormalities|heart diseases,Tetralogy of Fallot,,,,cardiovascular abnormalities|congenital abnormalities|heart diseases
"hematologic diseases|genetic diseases, inborn",Thalassemia,,,,"hematologic diseases|genetic diseases, inborn"
neoplasms by site,Thoracic Neoplasms,,,,neoplasms by site
hematologic diseases,"Thrombocythemia, Essential",Other Supportive Care,Other Supportive Care,Thrombocythemia ,hematologic diseases
hematologic diseases,Thrombocytopenia,Other Supportive Care,Other Supportive Care,Thrombocythemia ,hematologic diseases
hematologic diseases,Thrombocytosis,Other Supportive Care,Other Supportive Care,Thrombocythemia ,hematologic diseases
vascular diseases,Thromboembolism,Thrombolytics,Thrombosis,Thrombosis,vascular diseases
vascular diseases,Thrombophlebitis,Thrombolytics,Thrombosis,Thrombosis,vascular diseases
vascular diseases,Thrombosis,Thrombolytics,Thrombosis,Thrombosis,vascular diseases
lymphatic diseases|neoplasms by histologic type|neoplasms by site,Thymoma,,,,lymphatic diseases|neoplasms by histologic type|neoplasms by site
lymphatic diseases|neoplasms by site,Thymus Neoplasms,,,,lymphatic diseases|neoplasms by site
endocrine gland neoplasms|neoplasms by site|thyroid diseases,Thyroid Neoplasms,Angiogenesis Inhibitors (Small-molecule),Targeted Small Molecules,Thyroid Cancer,endocrine gland neoplasms|neoplasms by site|thyroid diseases
